no,title,options
1,Disagree-Agree,Strongly agree__Agree__Somewhat agree__Neither agree nor disagree__Somewhat disagree__Disagree__Strongly disagree
2,Dissatisfied-Satisfied,Extremely dissatisfied__Moderately dissatisfied__Slightly dissatisfied__Neither satisfied nor dissatisfied__Slightly satisfied__Moderately satisfied__Extremely satisfied
3,Inappropriate-Appropriate,Extremely inappropriate__Moderately inappropriate__Slightly inappropriate__Neither appropriate nor inappropriate__Slightly appropriate__Moderately appropriate__Extremely appropriate
4,Male-Female,Male__Female
5,Yes-No,Definitely false__Probably false__Neither true nor false__Probably true__Definitely true__Click to write Choice 6
6,Below Avg-Above Avg,Far below average__Moderately below average__Slightly below average__Average__Slightly above average__Moderately above average__Far above average
7,Worse-Better,Much worse__Moderately worse__Slightly worse__About the same__Slightly better__Moderately better__Much better
8,Difficult-Easy,Extremely difficult__Moderately difficult__Slightly difficult__Neither easy nor difficult__Slightly easy__Moderately easy__Extremely easy
9,Ineffective-Effective,Not effective at all__Slightly effective__Moderately effective__Very effective__Extremely effective
10,Bad-Good,Extremely bad__Moderately bad__Slightly bad__Neither good nor bad__Slightly good__Moderately good__Extremely good
11,Regrettful-Delightful,Terrible__Poor__Average__Good__Delightful
12,Believability,Extremely unbelievable__Moderately unbelievable__Slightly unbelievable__Neither believable nor unbelievable__Slightly believable__Moderately believable__Extremely believable
13,Slow-Fast,Extremely slow__Moderately slow__Slightly slow__Average__Slightly fast__Moderately fast__Extremely fast
14,Unlikely-Likely,Extremely unlikely__Somewhat unlikely__Neither likely nor unlikely__Somewhat likely__Extremely likely
15,Unhappy-Happy,Extremely unhappy__Moderately unhappy__Slightly unhappy__Neither happy nor unhappy__Slightly happy__Moderately happy__Extremely happy
16,Useless-Useful,Extremely useless__Moderately useless__Slightly useless__Neither useful nor useless__Slightly useful__Moderately useful__Extremely useful
17,Unimportant-Important,Not at all important__Slightly important__Moderately important__Very important__Extremely important
18,Describe my feelings,Does not describe my feelings__Slightly describes my feelings__Moderately describes my feelings__Mostly describes my feelings__Clearly describes my feelings
19,Describes me,Does not describe me__Describes me slightly well__Describes me moderately well__Describes me very well__Describes me extremely well
20,Displeased-Pleased,Extremely displeased__Somewhat displeased__Neither pleased nor displeased__Somewhat pleased__Extremely pleased
21,No preferences-Prefer,Do not prefer__Prefer slightly__Prefer a moderate amount__Prefer a lot__Prefer a great deal
22,Dislike-Like,Dislike a great deal__Dislike a moderate amount__Dislike a little__Neither like nor dislike__Like a little__Like a moderate amount__Like a great deal
23,Intervals,Never__Once a week__2-3 times a week__4-6 times a week__Daily
